StudyCode,orien1,orien2,orien3,orien4,orien5,orien6
CL_DEV_010,1,0,0,0,1,0
CL_DEV_009,1,0,0,0,1,0
PS16_040,1,0,0,0,1,0
PS1119101,1,0,0,0,1,0
PS16_026,1,0,0,0,1,0
PS16_034,1,0,0,0,1,0
PS16_037,1,0,0,0,1,0
PS16_053,1,0,0,0,1,0
PS16_032,1,0,0,0,1,0
PS16_036,1,0,0,0,1,0
PS16_059,1,0,0,0,1,0
PS16_030,1,0,0,0,1,0
PS16_028,1,0,0,0,1,0
PS16_054,1,0,0,0,1,0
PS16_057,1,0,0,0,1,0
PS16_048,1,0,0,0,1,0
PS16_060,1,0,0,0,1,0
PS16_047,1,0,0,0,1,0
PS16_043,1,0,0,0,1,0
PS16_063,1,0,0,0,1,0
PS16_031,1,0,0,0,1,0
PS1183101,1,0,0,0,1,0
PS16_045,1,0,0,0,1,0
PS16_046,1,0,0,0,1,0
PS16_058,1,0,0,0,1,0
PS16_070,1,0,0,0,1,0
PS16_050,1,0,0,0,1,0
PS16_055,1,0,0,0,1,0
PS16_051,1,0,0,0,1,0
PS16_072,1,0,0,0,1,0
PS16_069,1,0,0,0,1,0
PS0536101,1,0,0,0,1,0
PS16_067,1,0,0,0,1,0
PS16_074,1,0,0,0,1,0
PS0548101,1,0,0,0,1,0
PS16_066,1,0,0,0,1,0
PS1361101,1,0,0,0,1,0
PS1184101,1,0,0,0,1,0
PS0626101,1,0,0,0,1,0
PS16_049,1,0,0,0,1,0
PS16_078,1,0,0,0,1,0
CL_DEV_012,1,0,0,0,1,0
CL_DEV_011,1,0,0,0,1,0
PS16_082,1,0,0,0,1,0
PS16_085,1,0,0,0,1,0
PS16_079,1,0,0,0,1,0
PS1313101,1,0,0,0,1,0
PS16_077,1,0,0,0,1,0
PS1477101,1,0,0,0,1,0
PS0322102,1,0,0,0,1,0
PS16_086,1,0,0,0,1,0
PS16_083,1,0,0,0,1,0
PS16_084,1,0,0,0,1,0
PS16_076,1,0,0,0,1,0
PS16_087,1,0,0,0,1,0
